gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,38,2,3,10,2977522.0,0.0,6087433,2868647,0
0.003,38,3,3,10,2988457.0,0.0,5906365,2671067,0
0.003,38,4,3,10,6054.0,4540.5,6340960,6087871,0.75
0.003,38,5,3,10,54148.0,0.0,6406978,6105757,0
0.003,38,6,3,10,2990567.0,0.0,6092697,2861270,0
0.003,38,7,3,10,2922098.0,0.0,6038084,2874961,0
0.003,38,8,3,10,0.0,0.0,6014907,5773865,0
0.003,38,9,3,10,2984101.0,0.0,6008245,2789304,0
0.003,39,0,3,10,0.0,0.0,5899552,5652535,0
0.003,39,1,3,10,2988389.0,0.0,6194676,2959104,0
0.003,39,2,3,10,2988394.0,0.0,5964904,2741792,0
0.003,39,3,3,10,2982694.0,0.0,6091572,2867554,0
0.003,39,4,3,10,0.0,0.0,6080283,5839477,0
0.003,39,5,3,10,1688154.0,1985.3333333333333,6044415,4109665,0.0011760380470818026
0.003,39,6,3,10,2989908.0,0.0,6250882,3020170,0
0.003,39,7,3,10,1295991.0,0.0,6213358,4669857,0
0.003,39,8,3,10,0.0,0.0,6182398,5935241,0
0.003,39,9,3,10,2987850.0,0.0,6556356,3327391,0
0.003,40,0,3,10,0.0,0.0,5889109,5642237,0
0.003,40,1,3,10,2988804.0,0.0,6099425,2863313,0
0.003,40,2,3,10,2983292.0,0.0,6164405,2934251,0
0.003,40,3,3,10,2983437.0,0.0,6075560,2844640,0
0.003,40,4,3,10,0.0,0.0,6067881,5820494,0
0.003,40,5,3,10,729311.0,2003.0,5567942,4591710,0.0027464277928071837
0.003,40,6,3,10,2990224.0,0.0,5817370,2597855,0
0.003,40,7,3,10,2253120.0,0.0,5934229,3433986,0
0.003,40,8,3,10,0.0,0.0,5922528,5675557,0
0.003,40,9,3,10,2989061.0,0.0,6043397,2807300,0
0.003,41,0,3,10,0.0,0.0,6003373,5755946,0
0.003,41,1,3,10,2988463.0,0.0,6102922,2867575,0
0.003,41,2,3,10,2978030.0,0.0,5894118,2669175,0
0.003,41,3,3,10,2990020.0,0.0,6184733,2959712,0
0.003,41,4,3,10,0.0,0.0,6008423,5767180,0
